List,Surah,Ayah
haram-and-forbidden,Al-Waqi'ah,67
haram-and-forbidden,At-Tahrim,1
haram-and-forbidden,Al-Qalam,27
haram-and-forbidden,Al-Ma'arij,25
zina,An-Nisa,15-16
zina,An-Nisa,19
zina,An-Nisa,22-25
zina,Al-Isra,32
zina,Al-Mu'minun,7-May
zina,An-Nur,2
zina,An-Nur,3
zina,An-Nur,33
zina,Al-Furqan,68
zina,Al-Mumtahanah,12
zina,At-Talaq,1
qiyamah,Al-Fatiha,1
qiyamah,Al-Fatiha,2
qiyamah,Al-Fatiha,3
qiyamah,Al-Fatiha,4
qiyamah,Al-Baqarah,48
qiyamah,Al-Baqarah,85
qiyamah,Al-Baqarah,113
qiyamah,Al-Baqarah,174
qiyamah,Al-Baqarah,212
qiyamah,Al-Baqarah,254
qiyamah,Al-Imran,9
qiyamah,Al-Imran,25
qiyamah,Al-Imran,55
qiyamah,Al-Imran,77
qiyamah,Al-Imran,106
qiyamah,Al-Imran,114
qiyamah,Al-Imran,161
qiyamah,Al-Imran,180
qiyamah,Al-Imran,185
qiyamah,Al-Imran,194
qiyamah,An-Nisa,59
qiyamah,An-Nisa,87
qiyamah,An-Nisa,109
qiyamah,An-Nisa,136
qiyamah,An-Nisa,141
qiyamah,An-Nisa,159
qiyamah,Al-Ma’idah,14
qiyamah,Al-Ma’idah,36
qiyamah,Al-Ma’idah,64
qiyamah,Al-Ma’idah,119
qiyamah,Al-Anam,12
qiyamah,Al-Anam,31
qiyamah,Al-Anam,40
qiyamah,Al-Anam,73
qiyamah,Al-Anam,128
qiyamah,Al-Anam,134
qiyamah,Al-Anam,158
qiyamah,Al-A’raf,14
qiyamah,Al-A’raf,22
qiyamah,Al-A’raf,57
qiyamah,Al-A’raf,167
qiyamah,Al-A’raf,172
qiyamah,Al-A’raf,187
qiyamah,At-Taubah,77
qiyamah,Yunus,48
qiyamah,Yunus,49
qiyamah,Yunus,60
qiyamah,Yunus,93
qiyamah,Hud,60
qiyamah,Hud,97
qiyamah,Hud,98
qiyamah,Hud,99
qiyamah,Hud,104
qiyamah,Yusuf,107
qiyamah,Ibrahim,31
qiyamah,Ibrahim,48
qiyamah,Al-Hijr,25
qiyamah,Al-Hijr,36
qiyamah,Al-Hijr,37
qiyamah,Al-Hijr,38
qiyamah,Al-Hijr,85
qiyamah,An-Nahl,1
qiyamah,An-Nahl,21
qiyamah,An-Nahl,25
qiyamah,An-Nahl,27
qiyamah,An-Nahl,33
qiyamah,An-Nahl,77
qiyamah,An-Nahl,92
qiyamah,An-Nahl,124
qiyamah,Al-Isra,13
qiyamah,Al-Isra,52
qiyamah,Al-Isra,58
qiyamah,Al-Isra,62
qiyamah,Al-Isra,97
qiyamah,Al-Isra,104
qiyamah,Al-Kahf,21
qiyamah,Al-Kahf,35
qiyamah,Al-Kahf,36
qiyamah,Al-Kahf,44
qiyamah,Al-Kahf,47
qiyamah,Al-Kahf,58
qiyamah,Al-Kahf,98
qiyamah,Al-Kahf,99
qiyamah,Al-Kahf,105
qiyamah,Maryam,38
qiyamah,Maryam,39
qiyamah,Maryam,75
qiyamah,Maryam,95
qiyamah,Ta-Ha,15
qiyamah,Ta-Ha,100
qiyamah,Ta-Ha,101
qiyamah,Ta-Ha,102
qiyamah,Ta-Ha,103
qiyamah,Ta-Ha,104
qiyamah,Ta-Ha,105
qiyamah,Ta-Ha,106
qiyamah,Ta-Ha,107
qiyamah,Ta-Ha,108
qiyamah,Ta-Ha,109
qiyamah,Ta-Ha,110
qiyamah,Ta-Ha,111
qiyamah,Ta-Ha,124
qiyamah,Al-Anbiya,1
qiyamah,Al-Anbiya,38
qiyamah,Al-Anbiya,39
qiyamah,Al-Anbiya,40
qiyamah,Al-Anbiya,47
qiyamah,Al-Anbiya,49
qiyamah,Al-Anbiya,96
qiyamah,Al-Anbiya,97
qiyamah,Al-Anbiya,104
qiyamah,Al-Anbiya,109
qiyamah,Al-Hajj,1
qiyamah,Al-Hajj,2
qiyamah,Al-Hajj,7
qiyamah,Al-Hajj,9
qiyamah,Al-Hajj,17
qiyamah,Al-Hajj,55
qiyamah,Al-Hajj,69
qiyamah,Al-Mu’minun,16
qiyamah,Al-Mu’minun,100
qiyamah,Al-Mu’minun,101
qiyamah,Al-Furqan,11
qiyamah,Al-Furqan,12
qiyamah,Al-Furqan,13
qiyamah,Al-Furqan,14
qiyamah,Al-Furqan,22
qiyamah,Al-Furqan,25
qiyamah,Al-Furqan,26
qiyamah,Al-Furqan,27
qiyamah,Al-Furqan,69
qiyamah,An-Naml,65
qiyamah,An-Naml,71
qiyamah,An-Naml,72
qiyamah,An-Naml,82
qiyamah,An-Naml,87
qiyamah,An-Naml,88
qiyamah,Al-Qasas,41
qiyamah,Al-Qasas,42
qiyamah,Al-Qasas,61
qiyamah,Al-Qasas,71
qiyamah,Al-Qasas,72
qiyamah,Al-Ankabut,5
qiyamah,Al-Ankabut,13
qiyamah,Al-Ankabut,25
qiyamah,Ar-Rum,8
qiyamah,Ar-Rum,11
qiyamah,Ar-Rum,12
qiyamah,Ar-Rum,13
qiyamah,Ar-Rum,14
qiyamah,Ar-Rum,25
qiyamah,Ar-Rum,43
qiyamah,Ar-Rum,55
qiyamah,Ar-Rum,56
qiyamah,Luqman,28
qiyamah,Luqman,29
qiyamah,Luqman,33
qiyamah,Luqman,34
qiyamah,As-Sajdah,25
qiyamah,As-Sajdah,28
qiyamah,As-Sajdah,29
qiyamah,Al-Ahzab,63
qiyamah,Saba,3
qiyamah,Saba,30
qiyamah,Fatir,14
qiyamah,Ya-Sin,48
qiyamah,Ya-Sin,49
qiyamah,Ya-Sin,50
qiyamah,Ya-Sin,51
qiyamah,Ya-Sin,52
qiyamah,Ya-Sin,53
qiyamah,Ya-Sin,54
qiyamah,As-Saffat,19
qiyamah,Sad,77
qiyamah,Sad,78
qiyamah,Sad,79
qiyamah,Sad,80
qiyamah,Sad,81
qiyamah,Az-Zumar,5
qiyamah,Az-Zumar,15
qiyamah,Az-Zumar,24
qiyamah,Az-Zumar,31
qiyamah,Az-Zumar,47
qiyamah,Az-Zumar,60
qiyamah,Az-Zumar,67
qiyamah,Az-Zumar,68
qiyamah,Az-Zumar,69
qiyamah,Ghafir,15
qiyamah,Ghafir,16
qiyamah,Ghafir,18
qiyamah,Ghafir,32
qiyamah,Ghafir,46
qiyamah,Ghafir,58
qiyamah,Ghafir,59
qiyamah,Fussilat,40
qiyamah,Fussilat,47
qiyamah,Fussilat,50
qiyamah,Ash-Shura,14
qiyamah,Ash-Shura,17
qiyamah,Ash-Shura,18
qiyamah,Ash-Shura,45
qiyamah,Az-Zukhruf,61
qiyamah,Az-Zukhruf,66
qiyamah,Az-Zukhruf,67
qiyamah,Az-Zukhruf,74
qiyamah,Az-Zukhruf,75
qiyamah,Az-Zukhruf,76
qiyamah,Az-Zukhruf,77
qiyamah,Az-Zukhruf,78
qiyamah,Az-Zukhruf,85
qiyamah,Al-Jathiyah,17
qiyamah,Al-Jathiyah,26
qiyamah,Al-Jathiyah,27
qiyamah,Al-Jathiyah,32
qiyamah,Al-Ahqaf,3
qiyamah,Al-Ahqaf,5
qiyamah,Al-Ahqaf,23
qiyamah,Al-Ahqaf,35
qiyamah,Muhammad,18
qiyamah,Qaf,40
qiyamah,Qaf,41
qiyamah,Qaf,42
qiyamah,Qaf,43
qiyamah,Qaf,44
qiyamah,At-Tur,9
qiyamah,At-Tur,10
qiyamah,At-Tur,45
qiyamah,At-Tur,46
qiyamah,An-Najm,57
qiyamah,An-Najm,58
qiyamah,Al-Qamar,1
qiyamah,Al-Qamar,6
qiyamah,Al-Qamar,7
qiyamah,Al-Qamar,8
qiyamah,Al-Qamar,46
qiyamah,Ar-Rahman,37
qiyamah,Ar-Rahman,38
qiyamah,Ar-Rahman,39
qiyamah,Al-Waqi’ah,6
qiyamah,Al-Waqi’ah,7
qiyamah,Al-Waqi’ah,49
qiyamah,Al-Waqi’ah,50
qiyamah,Al-Mujadila,7
qiyamah,Al-Mumtahanah,3
qiyamah,Al-Mulk,24
qiyamah,Al-Mulk,25
qiyamah,Al-Mulk,26
qiyamah,Al-Mulk,27
qiyamah,Al-Qalam,39
qiyamah,Al-Haqqah,13
qiyamah,Al-Haqqah,14
qiyamah,Al-Haqqah,15
qiyamah,Al-Haqqah,16
qiyamah,Al-Haqqah,17
qiyamah,Al-Ma’arij,6
qiyamah,Al-Ma’arij,7
qiyamah,Al-Ma’arij,8
qiyamah,Al-Ma’arij,9
qiyamah,Al-Ma’arij,10
qiyamah,Al-Ma’arij,42
qiyamah,Al-Ma’arij,43
qiyamah,Al-Ma’arij,44
qiyamah,Al-Jinn,25
qiyamah,Al-Muzzammil,14
qiyamah,Al-Muzzammil,17
qiyamah,Al-Muddaththir,8
qiyamah,Al-Muddaththir,9
qiyamah,Al-Qiyamah,1
qiyamah,Al-Qiyamah,2
qiyamah,Al-Qiyamah,3
qiyamah,Al-Qiyamah,4
qiyamah,Al-Qiyamah,5
qiyamah,Al-Qiyamah,6
qiyamah,Al-Qiyamah,7
qiyamah,Al-Qiyamah,8
qiyamah,Al-Qiyamah,9
qiyamah,Al-Qiyamah,10
qiyamah,Al-Qiyamah,13
qiyamah,Al-Qiyamah,20
qiyamah,Al-Qiyamah,21
qiyamah,Al-Qiyamah,22
qiyamah,Al-Qiyamah,23
qiyamah,Al-Qiyamah,24
qiyamah,Al-Qiyamah,25
qiyamah,Al-Qiyamah,26
qiyamah,Al-Qiyamah,27
qiyamah,Al-Qiyamah,28
qiyamah,Al-Qiyamah,29
qiyamah,Al-Qiyamah,30
qiyamah,Al-Mursalat,7
qiyamah,Al-Mursalat,8
qiyamah,Al-Mursalat,9
qiyamah,Al-Mursalat,10
qiyamah,Al-Mursalat,11
qiyamah,Al-Mursalat,12
qiyamah,Al-Mursalat,13
qiyamah,Al-Mursalat,14
qiyamah,An-Naba,19
qiyamah,An-Naba,20
qiyamah,An-Nazi’at,6
qiyamah,An-Nazi’at,7
qiyamah,An-Nazi’at,8
qiyamah,An-Nazi’at,9
qiyamah,An-Nazi’at,10
qiyamah,An-Nazi’at,11
qiyamah,An-Nazi’at,12
qiyamah,An-Nazi’at,13
qiyamah,An-Nazi’at,14
qiyamah,An-Nazi’at,24
qiyamah,An-Nazi’at,25
qiyamah,An-Nazi’at,42
qiyamah,An-Nazi’at,43
qiyamah,An-Nazi’at,44
qiyamah,An-Nazi’at,45
qiyamah,An-Nazi’at,46
qiyamah,Abasa,33
qiyamah,Abasa,34
qiyamah,Abasa,35
qiyamah,Abasa,36
qiyamah,At-Takwir,4
qiyamah,At-Takwir,5
qiyamah,At-Takwir,6
qiyamah,At-Takwir,7
qiyamah,At-Takwir,8
qiyamah,At-Takwir,9
qiyamah,At-Takwir,10
qiyamah,At-Takwir,11
qiyamah,At-Takwir,12
qiyamah,At-Takwir,13
qiyamah,At-Takwir,14
qiyamah,Al-Infitar,1
qiyamah,Al-Infitar,2
qiyamah,Al-Infitar,3
qiyamah,Al-Infitar,4
qiyamah,Al-Infitar,5
qiyamah,Al-Mutaffifin,4
qiyamah,Al-Mutaffifin,5
qiyamah,Al-Mutaffifin,6
qiyamah,Al-Inshiqaq,5
qiyamah,Al-Buruj,2
qiyamah,Al-Buruj,3
qiyamah,At-Tariq,8
qiyamah,At-Tariq,9
qiyamah,At-Tariq,10
qiyamah,Al-Ghashiyah,1
qiyamah,Al-Fajr,21
qiyamah,Al-Fajr,22
qiyamah,Az-Zalzalah,1
qiyamah,Az-Zalzalah,2
qiyamah,Az-Zalzalah,3
qiyamah,Az-Zalzalah,4
qiyamah,Az-Zalzalah,5
qiyamah,Al-Adiyat,9
qiyamah,Al-Adiyat,10
qiyamah,Al-Adiyat,11
qiyamah,Al-Qari’ah,1
qiyamah,Al-Qari’ah,2
qiyamah,Al-Qari’ah,3
qiyamah,Al-Qari’ah,4
qiyamah,Al-Qari’ah,5
shaitan,Al-Baqarah,14
shaitan,Al-Baqarah,34
shaitan,Al-Baqarah,36
shaitan,Al-Baqarah,102
shaitan,Al-Baqarah,168
shaitan,Al-Baqarah,208
shaitan,Al-Baqarah,268
shaitan,Al-Baqarah,275
shaitan,Al-Imran,36
shaitan,Al-Imran,155
shaitan,Al-Imran,175
shaitan,An-Nisa,38
shaitan,An-Nisa,60
shaitan,An-Nisa,76
shaitan,An-Nisa,83
shaitan,An-Nisa,117
shaitan,An-Nisa,119
shaitan,An-Nisa,120
shaitan,Al-Ma'idah,90
shaitan,Al-Ma'idah,91
shaitan,Al-Anam,43
shaitan,Al-Anam,68
shaitan,Al-Anam,71
shaitan,Al-Anam,112
shaitan,Al-Anam,121
shaitan,Al-Anam,142
shaitan,Al-Anam,22-24
shaitan,Al-A'raf,11
shaitan,Al-A'raf,20
shaitan,Al-A'raf,22
shaitan,Al-A'raf,27
shaitan,Al-A'raf,30
shaitan,Al-A'raf,175
shaitan,Al-A'raf,13-Dec
shaitan,Al-A'raf,179
shaitan,Al-A'raf,200
shaitan,Al-A'raf,201
shaitan,Al-Anfal,11
shaitan,Al-Anfal,48
shaitan,Yusuf,5
shaitan,Yusuf,42
shaitan,Yusuf,100
shaitan,Ibrahim,22
shaitan,Al-Hijr,17
shaitan,Al-Hijr,14-15
shaitan,Al-Hijr,40-42
shaitan,An-Nahl,63
shaitan,An-Nahl,98
shaitan,Al-Isra,27
shaitan,Al-Isra,53
shaitan,Al-Isra,64
shaitan,Al-Kahf,63
shaitan,Al-Kahf,50-51
shaitan,Maryam,44
shaitan,Maryam,45
shaitan,Maryam,68
shaitan,Maryam,83
shaitan,Ta-Ha,120
shaitan,Al-Anbiya,82
shaitan,Al-Hajj,3
shaitan,Al-Hajj,52
shaitan,Al-Hajj,53
shaitan,Al-Mu'minun,97
shaitan,An-Nur,21
shaitan,Al-Furqan,29
shaitan,Ash-Shu'ara,210
shaitan,Ash-Shu'ara,221
shaitan,An-Naml,24
shaitan,Al-Qasas,15
shaitan,Al-Ankabut,38
shaitan,Luqman,21
shaitan,Fatir,6
shaitan,Ya-Sin,60
shaitan,As-Saffat,7
shaitan,As-Saffat,65
shaitan,Sad,37
shaitan,Sad,41
shaitan,Sad,74-75
shaitan,Sad,82-83
shaitan,Fussilat,25
shaitan,Fussilat,36
shaitan,Az-Zukhruf,36
shaitan,Az-Zukhruf,62
shaitan,Az-Zukhruf,37-38
shaitan,Muhammad,25
shaitan,Qaf,27-29
shaitan,An-Najm,19–20
shaitan,Al-Mujadila,10
shaitan,Al-Mujadila,19
shaitan,Al-Hashr,16
shaitan,Al-Mulk,5
prophet-ibrahim,Al-Baqarah,71
prophet-ibrahim,Al-Baqarah,124
prophet-ibrahim,Al-Baqarah,125
prophet-ibrahim,Al-Baqarah,126
prophet-ibrahim,Al-Baqarah,127
prophet-ibrahim,Al-Baqarah,128
prophet-ibrahim,Al-Baqarah,130
prophet-ibrahim,Al-Baqarah,132
prophet-ibrahim,Al-Baqarah,133
prophet-ibrahim,Al-Baqarah,135
prophet-ibrahim,Al-Baqarah,136
prophet-ibrahim,Al-Baqarah,140
prophet-ibrahim,Al-Baqarah,258
prophet-ibrahim,Al-Baqarah,260
prophet-ibrahim,Al-Baqarah,261
prophet-ibrahim,Al-Baqarah,263
prophet-ibrahim,Al-Baqarah,264
prophet-ibrahim,Al-Baqarah,268
prophet-ibrahim,Al-Baqarah,269
prophet-ibrahim,Al-Baqarah,270
prophet-ibrahim,Al-Baqarah,272
prophet-ibrahim,Al-Baqarah,273
prophet-ibrahim,Al-Baqarah,282
prophet-ibrahim,Al-Baqarah,285
prophet-ibrahim,Al-Baqarah,286
prophet-ibrahim,Al-Imran,33
prophet-ibrahim,Al-Imran,65
prophet-ibrahim,Al-Imran,67
prophet-ibrahim,Al-Imran,68
prophet-ibrahim,Al-Imran,84
prophet-ibrahim,Al-Imran,95
prophet-ibrahim,An-Nisa,54
prophet-ibrahim,An-Nisa,125
prophet-ibrahim,An-Nisa,163
prophet-ibrahim,Al-Anam,74
prophet-ibrahim,Al-Anam,75
prophet-ibrahim,Al-Anam,83
prophet-ibrahim,Al-Anam,161
prophet-ibrahim,At-Taubah,70
prophet-ibrahim,At-Taubah,114
prophet-ibrahim,Hud,69
prophet-ibrahim,Hud,74
prophet-ibrahim,Hud,75
prophet-ibrahim,Hud,76
prophet-ibrahim,Yusuf,6
prophet-ibrahim,Yusuf,38
prophet-ibrahim,Ibrahim,35
prophet-ibrahim,Al-Hijr,51
prophet-ibrahim,An-Nahl,120
prophet-ibrahim,An-Nahl,123
prophet-ibrahim,Maryam,41
prophet-ibrahim,Maryam,46
prophet-ibrahim,Maryam,58
prophet-ibrahim,Al-Anbiya,51
prophet-ibrahim,Al-Anbiya,60
prophet-ibrahim,Al-Anbiya,62
prophet-ibrahim,Al-Anbiya,69
prophet-ibrahim,Al-Hajj,26
prophet-ibrahim,Al-Hajj,43
prophet-ibrahim,Al-Hajj,78
prophet-ibrahim,Ash-Shu’ara,69
prophet-ibrahim,Al-Ankabut,16
prophet-ibrahim,Al-Ankabut,31
prophet-ibrahim,Al-Ahzab,7
prophet-ibrahim,As-Saffat,83
prophet-ibrahim,As-Saffat,104
prophet-ibrahim,As-Saffat,109
prophet-ibrahim,Sad,45
prophet-ibrahim,Ash-Shura,13
prophet-ibrahim,Az-Zukhruf,26
prophet-ibrahim,Adh-Dhariyat,24
prophet-ibrahim,An-Najm,37
prophet-ibrahim,Al-Hadid,26
prophet-ibrahim,Al-Mumtahanah,4
prophet-ibrahim,Al-Ala,19
prophet-musa,Al-Baqarah,51
prophet-musa,Al-Baqarah,53
prophet-musa,Al-Baqarah,54
prophet-musa,Al-Baqarah,55
prophet-musa,Al-Baqarah,60
prophet-musa,Al-Baqarah,61
prophet-musa,Al-Baqarah,67
prophet-musa,Al-Baqarah,87
prophet-musa,Al-Baqarah,92
prophet-musa,Al-Baqarah,108
prophet-musa,Al-Baqarah,136
prophet-musa,Al-Baqarah,246
prophet-musa,Al-Baqarah,248
prophet-musa,Al-Imran,84
prophet-musa,An-Nisa,153
prophet-musa,An-Nisa,164
prophet-musa,Al-Ma’idah,20
prophet-musa,Al-Ma’idah,22
prophet-musa,Al-Ma’idah,24
prophet-musa,Al-Anam,84
prophet-musa,Al-Anam,91
prophet-musa,Al-Anam,154
prophet-musa,Al-A’raf,103
prophet-musa,Al-A’raf,104
prophet-musa,Al-A’raf,115
prophet-musa,Al-A’raf,117
prophet-musa,Al-A’raf,122
prophet-musa,Al-A’raf,127
prophet-musa,Al-A’raf,128
prophet-musa,Al-A’raf,131
prophet-musa,Al-A’raf,134
prophet-musa,Al-A’raf,138
prophet-musa,Al-A’raf,142
prophet-musa,Al-A’raf,143
prophet-musa,Al-A’raf,144
prophet-musa,Al-A’raf,148
prophet-musa,Al-A’raf,150
prophet-musa,Al-A’raf,154
prophet-musa,Al-A’raf,155
prophet-musa,Al-A’raf,159
prophet-musa,Al-A’raf,160
prophet-musa,Yunus,75
prophet-musa,Yunus,77
prophet-musa,Yunus,80
prophet-musa,Yunus,81
prophet-musa,Yunus,83
prophet-musa,Yunus,84
prophet-musa,Yunus,87
prophet-musa,Yunus,88
prophet-musa,Hud,17
prophet-musa,Hud,96
prophet-musa,Hud,110
prophet-musa,Ibrahim,5
prophet-musa,Ibrahim,6
prophet-musa,Ibrahim,8
prophet-musa,Al-Isra,2
prophet-musa,Al-Isra,101
prophet-musa,Al-Kahf,60
prophet-musa,Al-Kahf,66
prophet-musa,Maryam,51
prophet-musa,Ta-Ha,9
prophet-musa,Ta-Ha,11
prophet-musa,Ta-Ha,17
prophet-musa,Ta-Ha,19
prophet-musa,Ta-Ha,36
prophet-musa,Ta-Ha,40
prophet-musa,Ta-Ha,49
prophet-musa,Ta-Ha,57
prophet-musa,Ta-Ha,61
prophet-musa,Ta-Ha,65
prophet-musa,Ta-Ha,67
prophet-musa,Ta-Ha,70
prophet-musa,Ta-Ha,77
prophet-musa,Ta-Ha,83
prophet-musa,Ta-Ha,86
prophet-musa,Ta-Ha,88
prophet-musa,Ta-Ha,91
prophet-musa,Al-Hajj,44
prophet-musa,Al-Mu’minun,45
prophet-musa,Al-Mu’minun,49
prophet-musa,Al-Furqan,35
prophet-musa,Ash-Shu’ara,10
prophet-musa,Ash-Shu’ara,43
prophet-musa,Ash-Shu’ara,45
prophet-musa,Ash-Shu’ara,48
prophet-musa,Ash-Shu’ara,52
prophet-musa,Ash-Shu’ara,61
prophet-musa,Ash-Shu’ara,63
prophet-musa,Ash-Shu’ara,65
prophet-musa,An-Naml,7
prophet-musa,An-Naml,9
prophet-musa,An-Naml,10
prophet-musa,Al-Qasas,3
prophet-musa,Al-Qasas,7
prophet-musa,Al-Qasas,10
prophet-musa,Al-Qasas,15
prophet-musa,Al-Qasas,18
prophet-musa,Al-Qasas,19
prophet-musa,Al-Qasas,20
prophet-musa,Al-Qasas,29
prophet-musa,Al-Qasas,30
prophet-musa,Al-Qasas,31
prophet-musa,Al-Qasas,36
prophet-musa,Al-Qasas,37
prophet-musa,Al-Qasas,38
prophet-musa,Al-Qasas,43
prophet-musa,Al-Qasas,44
prophet-musa,Al-Qasas,48
prophet-musa,Al-Qasas,76
prophet-musa,Al-Ankabut,39
prophet-musa,As-Sajdah,23
prophet-musa,Al-Ahzab,7
prophet-musa,As-Saffat,114
prophet-musa,As-Saffat,120
prophet-musa,Ghafir,23
prophet-musa,Ghafir,26
prophet-musa,Ghafir,27
prophet-musa,Ghafir,37
prophet-musa,Ghafir,53
prophet-musa,Fussilat,45
prophet-musa,Ash-Shura,13
prophet-musa,Az-Zukhruf,46
prophet-musa,Al-Ahqaf,12
prophet-musa,Al-Ahqaf,30
prophet-musa,Adh-Dhariyat,38
prophet-musa,An-Najm,36
prophet-musa,As-Saff,5
prophet-musa,An-Nazi’at,15
prophet-musa,Al-Ala,19
jinn,Al-Anam,100
jinn,Al-Anam,112
jinn,Al-Anam,128
jinn,Al-Anam,130
jinn,Al-A'raf,38
jinn,Al-A'raf,179
jinn,Hud,119
jinn,Al-Hijr,27
jinn,Al-Isra,88
jinn,Al-Kahf,50
jinn,An-Naml,17
jinn,An-Naml,39
jinn,As-Sajdah,13
jinn,Saba,12
jinn,Saba,14
jinn,Saba,41
jinn,As-Saffat,158
jinn,Fussilat,25
jinn,Fussilat,29
jinn,Al-Ahqaf,18
jinn,Al-Ahqaf,29
jinn,Adh-Dhariyat,56
jinn,Ar-Rahman,15
jinn,Ar-Rahman,33
jinn,Ar-Rahman,39
jinn,Ar-Rahman,56
jinn,Ar-Rahman,74
jinn,Al-Jinn,1
jinn,Al-Jinn,5
jinn,Al-Jinn,6
jinn,An-Nas,6
jahannam,Al-Baqarah,24
jahannam,Al-Baqarah,161-162
jahannam,Al-Baqarah,167
jahannam,Al-Baqarah,206
jahannam,Al-Imran,12
jahannam,Al-Imran,162
jahannam,Al-Imran,197
jahannam,An-Nisa,52
jahannam,An-Nisa,55
jahannam,An-Nisa,56
jahannam,An-Nisa,93
jahannam,An-Nisa,97
jahannam,An-Nisa,115
jahannam,An-Nisa,121
jahannam,An-Nisa,140
jahannam,An-Nisa,145
jahannam,An-Nisa,169
jahannam,Al-Ma’idah,36-37
jahannam,Al-A’raf,18
jahannam,Al-A’raf,41
jahannam,Al-A’raf,179
jahannam,Al-Anfal,16
jahannam,Al-Anfal,36
jahannam,Al-Anfal,37
jahannam,At-Taubah,35
jahannam,At-Taubah,49
jahannam,At-Taubah,63
jahannam,At-Taubah,68
jahannam,At-Taubah,73
jahannam,At-Taubah,81
jahannam,At-Taubah,95
jahannam,At-Taubah,109
jahannam,Yunus,27
jahannam,Hud,119
jahannam,Ar-Ra’d,18
jahannam,Ibrahim,16
